,spotify_track_id,song_title,label,emotion,session_type,subject_id,id,song_author
0,06s6aloy62vytl3MnT6gfl,"Times Like These - Live at the Pantages Theatre, Los Angeles, CA - August 2006",0,Amusement,personal,23,3784258358,['Foo Fighters']
1,0h9fnCSnbUgOEgibnQByFv,Everyday Life,2,Disappointment,personal,23,2395445698,['Coldplay']
2,1iArQTuOzxvrtniGmkyy92,Burden In My Hand,3,Anger,personal,23,3049220457,['Soundgarden']
3,3A9vIxzGBjEfqmDK7H9exS,Pyramid Song,3,Fear,personal,23,2667905835,['Radiohead']
4,39kHMfF3dBMZMbOtoit1XF,On The Mend,0,Joy,personal,23,1281311748,['Foo Fighters']
5,5sYAvst5lCs3Ws5MhExlSr,Mica Van Gogh,0,Interest,other,23,2608559859,['Caparezza']
6,3unsLiH5FXmaDWtT5Imolu,Fallin',1,Contentment,other,23,2596145110,['Alicia Keys']
7,0I3cUqffwmH2mMUHIfpC0l,Memory,1,Compassion,other,23,8309820898,['Barbra Streisand']
8,4UnC0RwEgaBXhif5XhtfaP,Stupido Hotel,3,Contempt,other,23,7497445780,['Vasco Rossi']
9,76IOzfO0FG2AJMTIt2tUPB,Bella,1,Contentment,other,23,6438333572,['Jovanotti']
10,6p5ohfzpFYEqqJMyMypCw0,Denti macchiati,3,Disgust,personal,16,8557039094,"[""L'Elfo"", 'Funkyman', 'MadMan']"
11,4e9JgdG9V9L1oE43zyfacr,Il mondo è mio,1,Love,personal,16,9029879903,"['Manuel Meli', 'Naomi Rivieccio']"
12,5LZVK19ieaV8Mk9FsqTL3F,Ridere,2,Disappointment,personal,16,3361324029,['Pinguini Tattici Nucleari']
13,75iEncMCKw6aZvUWyZqxO4,Vikings Attack,3,Fear,personal,16,7418585150,['Trevor Morris']
14,37ebs6hDGOWK8SDAB2kZG5,Friction,0,Interest,personal,16,6243009174,['Imagine Dragons']
15,7ofV2J7Ndzo2s5NBEgfpxl,The Show Must Go On - Remastered 2011,0,Pride,other,16,7391036738,['Queen']
16,0AUvWawuP0ibk4SQ3sIZjk,Daisy,3,Contempt,other,16,5280159555,['Ashnikko']
17,0pVfvpMSFsabyuydMihDi1,Ho amato tutto,1,Love,other,16,1553935701,['Tosca']
18,1Bdgn4nmMlADRQ6DPJh7UM,Ascent - Day 1,1,Compassion,other,16,8026221597,['Ludovico Einaudi']
19,4nr4gSTFGmTTSbumSY3kfH,The 2nd Law: Isolated System,3,Fear,other,16,2956923308,['Muse']
20,5AEt1JRuzsv7ip4frOvQrE,Pensa - Sanremo 2007,3,Anger,personal,15,3314920082,['Fabrizio Moro']
21,76GSo8ITf6PakYmNMJAwc2,Io in questo mondo,0,Pride,personal,15,2951988720,['Ligabue']
22,5YdEQiynLpBRBk8CLEd9sG,Abbi cura di me,1,Relief,personal,15,6021862951,['Simone Cristicchi']
23,75JFxkI2RXiU7L9VXzMkle,The Scientist,2,Sadness,personal,15,1436191677,['Coldplay']
24,5XAGVMePJNaXHcdRN578Xi,La canzone del sole,0,Pleasure,personal,15,2302906161,['Lucio Battisti']
25,1fdCjH8Y8n9j7lFr7tLbfm,Per dimenticare,1,Love,other,15,8084230089,['Zero Assoluto']
26,0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,0,Pride,other,15,2059040442,['Sum 41']
27,30k5yWHaZRUAeFZXspfmUV,"I Colori Del Vento - di ""Pocahontas""/Colonna Sonora Originale",1,Relief,other,15,5161760361,['Manuela Villa']
